x_true,y_true,x_est,y_est,error_m,setup_type,n_anchors_used,anchors_used,mean_rssi,total_packets
0,0,1.1132,0.8125,1.3782,LOS,4,"AP1,AP2,AP3,AP4",-58.34275,4000
0,0,1.4396,0.9143,1.7054,LOS,4,per_pkt,-57.5,4
0,0,0.787,0.7331,1.0755,LOS,4,per_pkt,-59.25,4
0,0,0.7115,0.7341,1.0223,LOS,4,per_pkt,-59.25,4
0,0,0.112,0.5793,0.59,LOS,4,per_pkt,-59.0,4
0,0,0.8754,0.7498,1.1526,LOS,4,per_pkt,-57.5,4
0,0,0.5173,0.6548,0.8345,LOS,4,per_pkt,-62.75,4
0,0,0.7767,0.7231,1.0612,LOS,4,per_pkt,-59.25,4
0,0,1.0505,0.7975,1.3189,LOS,4,per_pkt,-58.5,4
0,0,1.2177,0.8353,1.4767,LOS,4,per_pkt,-58.25,4
0,0,0.8641,0.7365,1.1354,LOS,4,per_pkt,-59.0,4
0,0,2.0578,1.0701,2.3194,NLOS,4,"AP1,AP2,AP3,AP4",-65.60325,4000
0,0,2.0295,1.0523,2.2861,NLOS,4,per_pkt,-65.0,4
0,0,2.0549,1.0471,2.3063,NLOS,4,per_pkt,-65.75,4
0,0,1.9685,1.0178,2.2161,NLOS,4,per_pkt,-64.75,4
0,0,2.0561,1.0781,2.3216,NLOS,4,per_pkt,-65.25,4
0,0,2.0724,1.042,2.3197,NLOS,4,per_pkt,-62.75,4
0,0,2.0107,1.0417,2.2645,NLOS,4,per_pkt,-64.75,4
0,0,2.0028,1.024,2.2494,NLOS,4,per_pkt,-63.5,4
0,0,2.1101,1.0901,2.3751,NLOS,4,per_pkt,-64.0,4
0,0,2.0843,1.0921,2.3531,NLOS,4,per_pkt,-65.0,4
0,0,1.9984,1.0327,2.2495,NLOS,4,per_pkt,-69.0,4
0,1,2.4844,1.246,2.4965,LOS,4,"AP1,AP2,AP3,AP4",-58.4525,4000
0,1,2.5197,1.2585,2.5329,LOS,4,per_pkt,-56.5,4
0,1,2.3289,1.186,2.3363,LOS,4,per_pkt,-55.75,4
0,1,2.4394,1.2285,2.4501,LOS,4,per_pkt,-61.5,4
0,1,2.4931,1.2584,2.5064,LOS,4,per_pkt,-58.25,4
0,1,2.511,1.2617,2.5246,LOS,4,per_pkt,-58.5,4
0,1,2.4535,1.2345,2.4646,LOS,4,per_pkt,-58.0,4
